appt_date,appt_time,unit_name
5/2/16,10:00 AM,Tan Unit
5/2/16,2:00 PM,Tan Unit
5/3/16,10:00 AM,Tan Unit
5/3/16,2:00 PM,Tan Unit
5/4/16,10:00 AM,Tan Unit
5/4/16,2:00 PM,Tan Unit
5/5/16,10:00 AM,Tan Unit
5/5/16,2:00 PM,Tan Unit
5/6/16,10:00 AM,Tan Unit
5/6/16,2:00 PM,Tan Unit
5/9/16,10:00 AM,Tan Unit
5/9/16,2:00 PM,Tan Unit
5/10/16,10:00 AM,Tan Unit
5/10/16,2:00 PM,Tan Unit
5/11/16,10:00 AM,Tan Unit
5/11/16,2:00 PM,Tan Unit
5/12/16,10:00 AM,Tan Unit
5/12/16,2:00 PM,Tan Unit
5/13/16,10:00 AM,Tan Unit
5/13/16,2:00 PM,Tan Unit
5/16/16,10:00 AM,Tan Unit
5/16/16,2:00 PM,Tan Unit
5/17/16,10:00 AM,Tan Unit
5/17/16,2:00 PM,Tan Unit
5/18/16,10:00 AM,Tan Unit
5/18/16,2:00 PM,Tan Unit
5/19/16,10:00 AM,Tan Unit
5/19/16,2:00 PM,Tan Unit
5/20/16,10:00 AM,Tan Unit
5/20/16,2:00 PM,Tan Unit
5/23/16,10:00 AM,Tan Unit
5/23/16,2:00 PM,Tan Unit
5/24/16,10:00 AM,Tan Unit
5/24/16,2:00 PM,Tan Unit
5/25/16,10:00 AM,Tan Unit
5/25/16,2:00 PM,Tan Unit
5/26/16,10:00 AM,Tan Unit
5/26/16,2:00 PM,Tan Unit
5/27/16,10:00 AM,Tan Unit
5/27/16,2:00 PM,Tan Unit
5/30/16,10:00 AM,Tan Unit
5/30/16,2:00 PM,Tan Unit
5/31/16,10:00 AM,Tan Unit
5/31/16,2:00 PM,Tan Unit
6/1/16,10:00 AM,Tan Unit
6/1/16,2:00 PM,Tan Unit
6/2/16,10:00 AM,Tan Unit
6/2/16,2:00 PM,Tan Unit
6/3/16,10:00 AM,Tan Unit
6/3/16,2:00 PM,Tan Unit
6/6/16,10:00 AM,Tan Unit
6/6/16,2:00 PM,Tan Unit
6/7/16,10:00 AM,Tan Unit
6/7/16,2:00 PM,Tan Unit
6/8/16,10:00 AM,Tan Unit
6/8/16,2:00 PM,Tan Unit
6/9/16,10:00 AM,Tan Unit
6/9/16,2:00 PM,Tan Unit
6/10/16,10:00 AM,Tan Unit
6/10/16,2:00 PM,Tan Unit
6/13/16,10:00 AM,Tan Unit
6/13/16,2:00 PM,Tan Unit
6/14/16,10:00 AM,Tan Unit
6/14/16,2:00 PM,Tan Unit
6/15/16,10:00 AM,Tan Unit
6/15/16,2:00 PM,Tan Unit
